CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
68	0	3	0.00	3
69	0	1	0.00	1
70	1	25	3.85	26
71	0	3	0.00	3
72	0	0		0
73	0	3	0.00	3
74	0	7	0.00	7
75	0	14	0.00	14
76	0	1	0.00	1
77	15	603	2.43	618
78	0	9	0.00	9
79	0	2	0.00	2
80	0	7	0.00	7
81	0	2	0.00	2
82	0	0		0
83	0	1	0.00	1
84	0	2	0.00	2
85	0	0		0
86	0	0		0
87	0	1	0.00	1
88	0	1	0.00	1
89	0	0		0
90	0	1	0.00	1
91	0	2	0.00	2
92	0	1	0.00	1
93	0	1	0.00	1
94	0	1	0.00	1
95	0	1	0.00	1
96	0	1	0.00	1
97	0	2	0.00	2
98	0	4	0.00	4
99	0	3	0.00	3
100	0	14	0.00	14
101	0	5	0.00	5
102	5	589	0.84	594
103	0	0		0
104	0	0		0
105	0	1	0.00	1
106	0	2	0.00	2
107	0	0		0
108	0	0		0
109	0	0		0
110	0	1	0.00	1
111	0	0		0
112	0	1	0.00	1
113	0	1	0.00	1
114	0	0		0
115	0	1	0.00	1
116	0	0		0
117	0	1	0.00	1
118	0	0		0
119	0	0		0
120	0	0		0
121	0	1	0.00	1
122	0	0		0
123	0	0		0
124	0	0		0
125	0	0		0
126	0	0		0
127	0	0		0
128	0	0		0
129	0	0		0

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	293	0.00	293
2	0	772	0.00	772
3	0	147	0.00	147
4	0	515	0.00	515
5	1	1907	0.05	1908
6	0	399	0.00	399
7	0	653	0.00	653
8	0	146	0.00	146
9	0	1627	0.00	1627
10	0	990	0.00	990
11	0	10	0.00	10
12	0	761	0.00	761
13	0	100	0.00	100
14	0	504	0.00	504
15	0	292	0.00	292
16	0	1280	0.00	1280
17	0	46	0.00	46
18	0	1391	0.00	1391
19	0	26	0.00	26
20	0	539	0.00	539
21	10	929	1.06	939
22	0	1	0.00	1
23	0	5	0.00	5
24	0	33	0.00	33
25	0	39	0.00	39
26	4	631	0.63	635
27	0	13	0.00	13
28	0	2	0.00	2
29	0	17	0.00	17
30	1	4	20.00	5
31	3	633	0.47	636
32	0	2	0.00	2
33	1	7	12.50	8
34	1	8	11.11	9
35	0	17	0.00	17
36	0	1	0.00	1
37	3	120	2.44	123
38	0	10	0.00	10
39	1	631	0.16	632
40	1	2	33.33	3
41	2	93	2.11	95
42	0	14	0.00	14
43	0	13	0.00	13
44	0	6	0.00	6
45	5	625	0.79	630
46	1	10	9.09	11
47	1	3	25.00	4
48	2	86	2.27	88
49	0	7	0.00	7
50	9	632	1.40	641
51	1	3	25.00	4
52	0	2	0.00	2
53	0	6	0.00	6
54	0	21	0.00	21
55	0	3	0.00	3
56	7	623	1.11	630
57	0	5	0.00	5
58	0	14	0.00	14
59	0	2	0.00	2
60	18	652	2.69	670
61	0	14	0.00	14
62	0	0		0
63	0	2	0.00	2
64	0	3	0.00	3
65	0	8	0.00	8
66	0	9	0.00	9
67	0	3	0.00	3
68	0	8	0.00	8
69	0	46	0.00	46
70	0	3	0.00	3
71	10	618	1.59	628
72	0	5	0.00	5
73	0	0		0
74	0	1	0.00	1
75	0	5	0.00	5
76	0	4	0.00	4
77	0	18	0.00	18
78	0	1	0.00	1
79	11	599	1.80	610
80	0	3	0.00	3
81	0	3	0.00	3
82	0	2	0.00	2
83	0	3	0.00	3
84	0	3	0.00	3
85	0	16	0.00	16
86	0	3	0.00	3
87	10	591	1.66	601
88	0	0		0
89	0	1	0.00	1
90	0	2	0.00	2
91	0	1	0.00	1
92	0	0		0
93	0	0		0
94	0	2	0.00	2
95	0	0		0
96	0	1	0.00	1
97	0	3	0.00	3
98	0	2	0.00	2
99	0	15	0.00	15
100	0	4	0.00	4
101	2	592	0.34	594
102	0	2	0.00	2
103	0	3	0.00	3
104	0	0		0
105	0	2	0.00	2
106	0	0		0
107	0	0		0
108	0	1	0.00	1
109	0	2	0.00	2
110	0	0		0
111	0	1	0.00	1
112	0	1	0.00	1
113	0	9	0.00	9
114	0	2	0.00	2
115	1	494	0.20	495
116	0	1	0.00	1
117	0	1	0.00	1
118	0	1	0.00	1
119	0	0		0
120	0	0		0
121	0	0		0
122	0	0		0
123	0	0		0
124	0	2	0.00	2
125	0	0		0
126	0	0		0
127	0	1	0.00	1
128	0	0		0
129	0	0		0

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1	828	0.12	829
2	0	71	0.00	71
3	0	782	0.00	782
4	0	476	0.00	476
5	1	617	0.16	618
6	0	452	0.00	452
7	1	1241	0.08	1242
8	1	1416	0.07	1417
9	1	2481	0.04	2482
10	1	1777	0.06	1778
11	0	682	0.00	682
12	1	1752	0.06	1753
13	0	2937	0.00	2937
14	0	47	0.00	47
15	1	1929	0.05	1930
16	1	1129	0.09	1130
17	1	1179	0.08	1180
18	0	572	0.00	572
19	0	1050	0.00	1050
20	0	104	0.00	104
21	0	210	0.00	210
22	0	16	0.00	16
23	0	15	0.00	15
24	7	637	1.09	644
25	3	638	0.47	641
26	0	22	0.00	22
27	0	29	0.00	29
28	0	21	0.00	21
29	1	633	0.16	634
30	5	633	0.78	638
31	0	9	0.00	9
32	0	4	0.00	4
33	0	12	0.00	12
34	1	13	7.14	14
35	0	29	0.00	29
36	0	20	0.00	20
37	5	628	0.79	633
38	6	627	0.95	633
39	0	10	0.00	10
40	0	25	0.00	25
41	1	15	6.25	16
42	1	15	6.25	16
43	4	633	0.63	637
44	6	628	0.95	634
45	0	9	0.00	9
46	0	18	0.00	18
47	2	101	1.94	103
48	9	631	1.41	640
49	5	627	0.79	632
50	0	3	0.00	3
51	2	83	2.35	85
52	0	4	0.00	4
53	7	641	1.08	648
54	0	11	0.00	11
55	5	633	0.78	638
56	0	8	0.00	8
57	0	2	0.00	2
58	0	5	0.00	5
59	0	2	0.00	2
60	0	4	0.00	4
61	0	7	0.00	7
62	0	9	0.00	9
63	0	13	0.00	13
64	0	16	0.00	16
65	0	9	0.00	9
66	15	625	2.34	640
67	0	4	0.00	4
68	11	619	1.75	630
69	0	7	0.00	7
70	0	5	0.00	5
71	0	7	0.00	7
72	0	32	0.00	32
73	0	18	0.00	18
74	0	6	0.00	6
75	15	611	2.40	626
76	0	7	0.00	7
77	0	5	0.00	5
78	0	12	0.00	12
79	0	9	0.00	9
80	0	16	0.00	16
81	0	15	0.00	15
82	11	597	1.81	608
83	12	592	1.99	604
84	0	17	0.00	17
85	0	8	0.00	8
86	10	594	1.66	604
87	0	5	0.00	5
88	0	16	0.00	16
89	0	16	0.00	16
90	5	601	0.83	606
91	6	609	0.98	615
92	0	12	0.00	12
93	5	605	0.82	610
94	0	3	0.00	3
95	5	592	0.84	597
96	0	4	0.00	4
97	0	3	0.00	3
98	0	12	0.00	12
99	0	4	0.00	4
100	3	591	0.51	594
101	0	2	0.00	2
102	0	4	0.00	4
103	0	2	0.00	2
104	0	2	0.00	2
105	0	1	0.00	1
106	0	3	0.00	3
107	0	1	0.00	1
108	0	2	0.00	2
109	0	4	0.00	4
110	0	4	0.00	4
111	0	11	0.00	11
112	0	11	0.00	11
